SettlementDate,Time,Demand
2/3/2022,14:45:00,37410
2/3/2022,14:50:00,37368
2/3/2022,14:55:00,37371
2/3/2022,15:00:00,37287
2/3/2022,15:05:00,37257
2/3/2022,15:10:00,37236
2/3/2022,15:15:00,37173
2/3/2022,15:20:00,37206
2/3/2022,15:25:00,37352
2/3/2022,15:30:00,37557
2/3/2022,15:35:00,37760
2/3/2022,15:40:00,37879
2/3/2022,15:45:00,38013
2/3/2022,15:50:00,38269
2/3/2022,15:55:00,38499
2/3/2022,16:00:00,38733
2/3/2022,16:05:00,38804
2/3/2022,16:10:00,38850
2/3/2022,16:15:00,39028
2/3/2022,16:20:00,39404
2/3/2022,16:25:00,39550
2/3/2022,16:30:00,39712
2/3/2022,16:35:00,39970
2/3/2022,16:40:00,40293
2/3/2022,16:45:00,40691
2/3/2022,16:50:00,40860
2/3/2022,16:55:00,40992
2/3/2022,17:00:00,41177
2/3/2022,17:05:00,41339
2/3/2022,17:10:00,41552
2/3/2022,17:15:00,41671
2/3/2022,17:20:00,42014
2/3/2022,17:25:00,42195
2/3/2022,17:30:00,42314
2/3/2022,17:35:00,42498
2/3/2022,17:40:00,42494
2/3/2022,17:45:00,42475
2/3/2022,17:50:00,42310
2/3/2022,17:55:00,42124
2/3/2022,18:00:00,42152
2/3/2022,18:05:00,42241
2/3/2022,18:10:00,41986
2/3/2022,18:15:00,41795
2/3/2022,18:20:00,41714
2/3/2022,18:25:00,41642
2/3/2022,18:30:00,41656
2/3/2022,18:35:00,41561
2/3/2022,18:40:00,41411
2/3/2022,18:45:00,41115
2/3/2022,18:50:00,40919
2/3/2022,18:55:00,40738
2/3/2022,19:00:00,40578
2/3/2022,19:05:00,40419
2/3/2022,19:10:00,40157
2/3/2022,19:15:00,40047
2/3/2022,19:20:00,39872
2/3/2022,19:25:00,39496
2/3/2022,19:30:00,39161
2/3/2022,19:35:00,39190
2/3/2022,19:40:00,39149
2/3/2022,19:45:00,39018
2/3/2022,19:50:00,38736
2/3/2022,19:55:00,38552
2/3/2022,20:00:00,38305
2/3/2022,20:05:00,38310
2/3/2022,20:10:00,37034
2/3/2022,20:15:00,36801
2/3/2022,20:20:00,37358
2/3/2022,20:25:00,36963
2/3/2022,20:30:00,36902
2/3/2022,20:35:00,36911
2/3/2022,20:40:00,36500
2/3/2022,20:45:00,36370
2/3/2022,20:50:00,36170
2/3/2022,20:55:00,35805
